STUDYID,DOMAIN,ARMCD,ARM,TAETORD,ETCD,ELEMENT,TABRANCH,TATRANS,EPOCH
LORNA,TA,DRGA,DRUG A,1,SCRN,SCREENING,Randomization to Drug A,,SCREENING
LORNA,TA,DRGA,DRUG A,2,TRT,200 mg,,,TREATMENT1
LORNA,TA,DRGA,DRUG A,3,TRT,200 mg,,,TREATMENT2
LORNA,TA,DRGA,DRUG A,4,TRT,200 mg,,,TREATMENT3
LORNA,TA,DRGA,DRUG A,5,TRT,200 mg,,,TREATMENT4
LORNA,TA,DRGA,DRUG A,6,FU,FOLLOW-UP,,,FOLLOW-UP
LORNA,TA,DRGB,DRUG B,1,SCRN,SCREENING,Randomization to Drug B,,SCREENING
LORNA,TA,DRGB,DRUG B,2,TRT,300 mg,,,TREATMENT1
LORNA,TA,DRGB,DRUG B,3,TRT,300 mg,,,TREATMENT2
LORNA,TA,DRGB,DRUG B,4,TRT,300 mg,,,TREATMENT3
LORNA,TA,DRGB,DRUG B,5,TRT,300 mg,,,TREATMENT4
LORNA,TA,DRGB,DRUG B,6,FU,FOLLOW-UP,,,FOLLOW-UP
LORNA,TA,PLC,PLACEBO,1,SCRN,SCREENING,Randomization to Placebo,,SCREENING
LORNA,TA,PLC,PLACEBO,2,PLC,PLACEBO,,,TREATMENT1
LORNA,TA,PLC,PLACEBO,3,PLC,PLACEBO,,,TREATMENT2
LORNA,TA,PLC,PLACEBO,4,PLC,PLACEBO,,,TREATMENT3
LORNA,TA,PLC,PLACEBO,5,PLC,PLACEBO,,,TREATMENT4
LORNA,TA,PLC,PLACEBO,6,FU,FOLLOW-UP,,,FOLLOW-UP
